Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Turnover,Baltimore City WIA,Maryland Turnover Rate by Education,2016Q4,E3,Some college or Associate degree,0.067
Turnover,Baltimore City WIA,Maryland Turnover Rate by Education,2015Q3,E4,Bachelor's degree or advanced degree,0.058
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1885
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1908
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,2043
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,2106
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,2176
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2527
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,2152
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,2037
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,2136
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,2256
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,2277
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,2395
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1811
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2021Q2,72,Accommodation and Food Services,2710
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,2046
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,2166
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,2162
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,2154
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,2332
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2021Q3,72,Accommodation and Food Services,2717
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,2213
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,2202
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,2246
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,2330
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,2458
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,2515
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2021Q4,72,Accommodation and Food Services,0
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,-105
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,420
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,1140
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,257
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,321
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-7635
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2021Q1,72,Accommodation and Food Services,877
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1015
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,880
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,1003
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,609
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,995
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q2,72,Accommodation and Food Services,-2302
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2021Q2,72,Accommodation and Food Services,3273
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q3,72,Accommodation and Food Services,-293
