Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate,,,,
2017,SNAP Recipient Workers,,,"Allegany County, Maryland",5011,,,,,
2018,SNAP Recipient Workers,,,"Allegany County, Maryland",4880,,,,,
2019,SNAP Recipient Workers,,,"Allegany County, Maryland",4835,,,,,
2020,SNAP Recipient Workers,,,"Allegany County, Maryland",4620,,,,,
2017,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.01967,1.9666,,,,
2018,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.02046,2.0463,,,,
2019,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.02011,2.0105,,,,
2020,SNAP Recipient Workers by Percentage,,,"Allegany County, Maryland",0.02007,2.0068,,,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2597,,,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2569,,,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2632,,,,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2604,,,,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Allegany County, Maryland",2645,,,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",28656,,,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",27995,,,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",27162,,,,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",26986,,,,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",26044,,,,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3827,,,,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3597,,,,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3254,,,,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",3113,,,,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Allegany County, Maryland",2849,,,,
2015,Median Household Income,,,"Allegany County, Maryland",40551,,,,,,
2016,Median Household Income,,,"Allegany County, Maryland",41559,,,,,,
2017,Median Household Income,,,"Allegany County, Maryland",42771,,,,,,
2018,Median Household Income,,,"Allegany County, Maryland",44065,,,,,,
2019,Median Household Income,,,"Allegany County, Maryland",45893,,,,,,
2020,Median Household Income,,,"Allegany County, Maryland",49449,,,,,,
2016,Total Population,,,"Allegany County, Maryland",73060,,,,,
2015,Total Population,,,"Allegany County, Maryland",73549,,,,,
2017,Total Population,,,"Allegany County, Maryland",72591,,,,,
2019,Total Population,,,"Allegany County, Maryland",71445,,,,,
2018,Total Population,,,"Allegany County, Maryland",71977,,,,,
2015,Unemployment By Gender,,Male,"Allegany County, Maryland",10.7,0.107
2020,Total Population,,,"Allegany County, Maryland",71002,,,,,
2016,Unemployment By Gender,,Male,"Allegany County, Maryland",10.3,0.10300000000000001
2017,Unemployment By Gender,,Male,"Allegany County, Maryland",9.6,0.096
2018,Unemployment By Gender,,Male,"Allegany County, Maryland",8.4,0.084
2020,Unemployment By Gender,,Male,"Allegany County, Maryland",6.4,0.064
2019,Unemployment By Gender,,Male,"Allegany County, Maryland",6.7,0.067
2016,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",535,,,,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",580,,,,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",602,,,,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",556,,,,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",473,,,,
2020,Employment Status By Disability Status,Unemployed,Disabled,"Allegany County, Maryland",535,,,,
2015,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.2,0.182
2016,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.5,0.185
2017,Unemployment By Race,,Hispanic,"Allegany County, Maryland",18.4,0.184
2018,Unemployment By Race,,Hispanic,"Allegany County, Maryland",15.5,0.155
2020,Unemployment By Race,,Hispanic,"Allegany County, Maryland",9.8,0.098
2016,Unemployment By Gender,,Female,"Allegany County, Maryland",7.1,0.071
2019,Unemployment By Race,,Hispanic,"Allegany County, Maryland",11.4,0.114
2015,Unemployment By Gender,,Female,"Allegany County, Maryland",7.9,0.079
2017,Unemployment By Gender,,Female,"Allegany County, Maryland",6.8,0.068
2018,Unemployment By Gender,,Female,"Allegany County, Maryland",6.7,0.067
2019,Unemployment By Gender,,Female,"Allegany County, Maryland",5.8,0.057999999999999996
2020,Unemployment By Gender,,Female,"Allegany County, Maryland",6.2,0.062
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2357,,,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2595,,,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",2114,,,,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",1961,,,,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",1645,,,,
2020,Employment Status By Disability Status,Unemployed,Non Disabled,"Allegany County, Maryland",1469,,,,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25638,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",26061,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25048,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",25025,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",24399,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5874,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5845,
2020,Employment Status By Disability Status,Employed,Non Disabled,"Allegany County, Maryland",23912,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5818,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5525,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5592,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",189,
2020,Employment Status By Education,Employed,Bachelor's or Higher,"Allegany County, Maryland",5699,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",193,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",194,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",122,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",192,
2020,Employment Status By Education,Unemployed,Bachelor's or Higher,"Allegany County, Maryland",148,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1158,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1124,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1244,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1173,
